City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,hambantota,6.1241,81.1185,77.32,84,66,17.83,LK,1660163694
263,airai,-8.9266,125.4092,56.79,61,59,2.71,TL,1660163696
264,cockburn town,21.4612,-71.1419,80.56,83,40,12.66,TC,1660163699
265,buraydah,26.326,43.975,100.85,16,33,9.95,SA,1660163701
266,port lincoln,-34.7333,135.8667,49.05,83,40,21.54,AU,1660163708
267,batalha,-9.6778,-37.1247,71.96,79,4,4.5,BR,1660163710
268,cluses,46.0625,6.575,78.53,53,1,4.7,FR,1660163713
269,mumford,5.2618,-0.759,72.93,88,6,11.48,GH,1660163717
270,ust-tsilma,65.441,52.1498,57.76,56,100,2.37,RU,1660163720
271,praya,14.9215,-23.5087,82.94,74,40,12.66,CV,1660163722
272,tigil,57.8,158.6667,55.67,93,100,3.94,RU,1660163724
273,kyaikkami,16.08,97.5675,78.69,85,100,6.22,MM,1660163727
274,kenai,60.5544,-151.2583,62.1,64,0,16.11,US,1660163729
275,maniitsoq,65.4167,-52.9,42.91,89,100,2.3,GL,1660163731
276,alice springs,-23.7,133.8833,56.75,67,100,5.75,AU,1660163734
277,sorong,-0.8833,131.25,77.16,85,28,4.32,ID,1660163736
278,glenwood springs,39.5505,-107.3248,94.06,39,100,0.0,US,1660163507
279,te anau,-45.4167,167.7167,33.3,93,30,1.9,NZ,1660163741
280,san cristobal,7.7669,-72.225,82.58,85,100,5.41,VE,1660163743
281,hua hin,12.5707,99.9588,82.89,93,100,10.78,TH,1660163745
282,enshi,30.3,109.4833,74.82,82,81,0.89,CN,1660163748
283,kysyl-syr,63.8986,122.7617,55.85,93,28,4.7,RU,1660163750
284,nyagan,62.1406,65.3936,58.84,62,74,5.73,RU,1660163753
285,chokwe,-24.5333,32.9833,66.83,76,0,5.79,MZ,1660163755
286,nome,64.5011,-165.4064,50.16,100,100,11.5,US,1660163757
287,juru,5.312,100.4423,80.91,92,20,0.0,MY,1660163759
288,sampit,-2.5333,112.95,75.02,94,100,2.08,ID,1660163762
289,lorengau,-2.0226,147.2712,80.71,80,98,8.46,PG,1660163764
290,westport,41.1415,-73.3579,88.3,61,0,6.91,US,1660163767
291,olafsvik,64.8945,-23.7142,48.33,79,92,7.74,IS,1660163769
292,waingapu,-9.6567,120.2641,74.68,85,20,5.59,ID,1660163772
293,magadan,59.5667,150.8,56.53,90,100,7.67,RU,1660163774
294,kostryzhivka,48.6545,25.7132,62.47,67,100,5.06,UA,1660163776
295,makakilo city,21.3469,-158.0858,84.61,57,100,18.41,US,1660163779
296,akyab,20.15,92.9,77.99,89,85,7.31,MM,1660163781
297,posse,-14.0931,-46.3694,78.89,24,27,1.68,BR,1660163783
298,mascote,-15.5631,-39.3025,71.31,75,1,6.17,BR,1660163786
299,madaba,31.5833,35.6667,73.56,67,0,4.5,JO,1660163788
300,naica,27.85,-105.4833,85.95,31,79,4.47,MX,1660163790
301,keti bandar,24.1447,67.4497,81.97,89,100,10.85,PK,1660163793
302,gourdon,44.75,1.5,72.14,27,0,3.22,FR,1660163795
303,mnogovershinnyy,53.9353,139.9242,52.9,96,100,3.89,RU,1660163801
304,ponta delgada,37.7333,-25.6667,72.32,64,20,10.36,PT,1660163804
305,aklavik,68.2191,-135.0107,58.95,37,24,8.57,CA,1660163564
306,constitucion,-35.3333,-72.4167,54.07,71,0,10.51,CL,1660163790
307,tessalit,20.1986,1.0114,92.68,29,74,10.4,ML,1660163812
